%Frame Number	x (image)	y (image)	x (world)	y (world)	Area	Orientation	Compactness	TimeStamp (ms)
298	171.542	51.0833	0	0	24	1.01442	0.470424	9976
299	171.599	51.1738	0	0	23.5	1.01531	0.482706	10010
300	171.599	51.1738	0	0	23.5	1.01531	0.482706	10043
301	171.812	51.0816	0	0	23.5	1.10552	0.516749	10076
302	171.789	50.6926	0	0	22.5	1.17623	0.432688	10110
303	171.833	49.8759	0	0	23.5	1.18274	0.516749	10143
304	172.127	49.8175	0	0	21	1.28295	0.411621	10176
305	172.211	49.4407	0	0	22.5	1.25983	0.421298	10210
306	172.211	49.4407	0	0	22.5	1.25983	0.421298	10243
307	172.112	48.9806	0	0	21.5	1.33957	0.472771	10276
308	171.953	48.3803	0	0	19.5	1.40436	0.416739	10310
309	171.902	47.8761	0	0	19.5	1.41007	0.389654	10343
310	171.902	47.8761	0	0	19.5	1.41007	0.389654	10377
311	171.902	47.8761	0	0	19.5	1.41007	0.389654	10410
312	171.902	47.8761	0	0	19.5	1.41007	0.389654	10443
313	171.902	47.8761	0	0	19.5	1.41007	0.389654	10477
314	171.876	48.3632	0	0	19.5	1.43626	0.389654	10510
315	171.876	48.3632	0	0	19.5	1.43626	0.389654	10543
316	171.876	48.3632	0	0	19.5	1.43626	0.389654	10577
317	171.876	48.3632	0	0	19.5	1.43626	0.389654	10610
318	171.876	48.3632	0	0	19.5	1.43626	0.389654	10643
319	171.904	48.7632	0	0	19	1.39883	0.398046	10677
320	172.452	49.4524	0	0	21	1.48455	0.439945	10710
321	172.349	49.5476	0	0	21	1.52686	0.439945	10744
322	172.508	50.3	0	0	20	1.49037	0.418996	10777
323	172.849	50.5	0	0	21	1.5708	0.439945	10810
324	172.849	50.5	0	0	21	1.5708	0.439945	10844
325	173.095	50.7778	0	0	21	1.80546	0.471297	10877
326	173.66	51.1538	0	0	26	1.69164	0.544694	10910
327	174.242	51.9167	0	0	22	1.87071	0.304134	10944
328	174.205	52.1515	0	0	22	2.15831	0.460895	10977
329	174.559	52.232	0	0	25.5	2.14464	0.523787	11011
330	174.559	52.232	0	0	25.5	2.14464	0.523787	11044
331	175.121	52.9697	0	0	33	2.24563	0.555574	11077
332	177.802	56.2937	0	0	52.5	0.688553	0.254815	11111
333	178.01	56.4886	0	0	58.5	0.678774	0.303377	11144
334	177.601	56.5533	0	0	62.5	0.684023	0.384007	11177
335	177.646	56.2619	0	0	63	0.740002	0.363955	11211
336	177.646	56.2619	0	0	63	0.740002	0.363955	11244
337	177.754	56.2355	0	0	63	0.788981	0.435464	11277
338	178.389	56.6619	0	0	52.5	0.676416	0.334719	11311
339	178.354	56.5312	0	0	53.5	0.549725	0.32871	11344
340	178.911	56.8988	0	0	53.5	1.97417	0.341095	11378
341	179.182	57.1758	0	0	55	2.18301	0.292139	11411
342	179.182	57.1758	0	0	55	2.18301	0.292139	11444
343	179.311	56.8894	0	0	56.5	-0.769799	0.274229	11478
344	177.597	60.0515	0	0	27.5	0.509227	0.483495	11511
345	176.78	59.9867	0	0	25	0.541174	0.538739	11544
346	176.768	60.3105	0	0	25.5	0.586343	0.490379	11578
347	175.993	59.8267	0	0	25	0.762585	0.554386	11611
348	175.975	59.8972	0	0	23.5	0.757082	0.496386	11644
349	175.54	59.2222	0	0	21	0.74701	0.537985	11678
350	174.625	58.1181	0	0	24	0.999126	0.441081	11711
351	173.633	56.7667	0	0	20	1.10504	0.430991	11745
352	173.31	55.373	0	0	21	1.35538	0.333039	11778
353	173.386	53.7121	0	0	22	1.38302	0.431222	11811
354	173.386	53.7121	0	0	22	1.38302	0.431222	11845
355	173.608	52.4462	0	0	15.5	1.49777	0.393504	11878
356	174.039	51.2647	0	0	17	1.71864	0.381526	11911
357	174.438	49.9806	0	0	21.5	1.82243	0.507333	11945
358	175.189	49.7296	0	0	22.5	1.90737	0.462165	11978
359	175.804	49.8188	0	0	23	2.04655	0.387219	12012
360	175.804	49.8188	0	0	23	2.04655	0.387219	12045
361	177.028	48.7708	0	0	24	2.24254	0.441081	12078
362	177.81	48.5543	0	0	21.5	-0.777105	0.486645	12112
363	178.419	48.3222	0	0	22.5	-0.681057	0.432688	12145
364	179	48.6304	0	0	23	-0.442798	0.422703	12178
365	178.897	49.039	0	0	23.5	-0.46676	0.3887	12212
366	178.897	49.039	0	0	23.5	-0.46676	0.3887	12245
367	179.654	48.8496	0	0	20.5	-0.422745	0.394227	12278
368	180.508	48.9031	0	0	21.5	-0.490653	0.413457	12312
369	180.617	48.9865	0	0	18.5	-0.40776	0.380002	12345
370	181.043	48.3261	0	0	23	-0.591582	0.397134	12379
371	180.759	48.3642	0	0	27	-0.709394	0.496217	12412
372	180.759	48.3642	0	0	27	-0.709394	0.496217	12445
373	180.543	48.1667	0	0	23	2.32315	0.397134	12479
374	180.614	47.4621	0	0	22	2.14421	0.431222	12512
375	180.413	47.2381	0	0	21	1.96971	0.485273	12545
376	179.84	47	0	0	24	1.68215	0.502795	12579
377	179.278	46.6349	0	0	21	1.50609	0.471297	12612
378	179.278	46.6349	0	0	21	1.50609	0.471297	12645
379	178.644	46.4545	0	0	22	1.25594	0.460895	12679
380	178.213	46.3915	0	0	21.5	1.1024	0.472771	12712
381	177.644	46.0152	0	0	22	0.952995	0.508381	12746
382	177.568	46.6591	0	0	22	0.640834	0.523684	12779
383	177.303	46.5598	0	0	19.5	0.50042	0.474138	12812
384	177.303	46.5598	0	0	19.5	0.50042	0.474138	12846
385	176.004	46.5085	0	0	19.5	0.406309	0.428792	12879
386	176.312	47.0043	0	0	19.5	0.352736	0.428792	12912
387	175.897	46.9823	0	0	23.5	0.244502	0.482706	12946
388	175.67	47.0556	0	0	25.5	0.199682	0.490379	12979
389	175.881	47.0238	0	0	24.5	0.243953	0.503246	13013
390	175.881	47.0238	0	0	24.5	0.243953	0.503246	13046
391	176.107	47.0037	0	0	22.5	0.267533	0.49476	13079
392	175.787	46.7868	0	0	21.5	0.386915	0.441624	13113
393	175.08	45.9867	0	0	25	0.415618	0.490025	13146
394	174.125	45.3333	0	0	24	0.519771	0.470424	13179
395	173.7	45.0867	0	0	25	0.580105	0.45946	13213
396	173.7	45.0867	0	0	25	0.580105	0.45946	13246
397	172.638	43.978	0	0	26.5	0.577297	0.50961	13279
398	172.326	43.442	0	0	23	0.595241	0.49564	13313
399	172.982	43.8688	0	0	23.5	0.747495	0.571397	13346
400	173.492	43.7846	0	0	20.5	0.982651	0.498453	13380
401	174.15	43.047	0	0	19.5	1.29379	0.460139	13413
402	174.15	43.047	0	0	19.5	1.29379	0.460139	13446
403	174.396	41.5312	0	0	16	1.50823	0.294054	13480
